base_id,text,domain,intent,description,base_split
order_cancel_b060,"mujhe lagta hai, bhai order cancel karna hai, galti se order place ho gaya; address sahi nahi hai",Orders,order_cancel,Cancel an existing order,train
order_status_b001,mera order kahan tak pahucha? order abhi tak nahi aaya,Orders,order_status,Check the status of an existing order,train
order_status_b002,"pls order ka current status check karna hai, kal tak chahiye tha",Orders,order_status,Check the status of an existing order,train
order_status_b003,please batao order dispatch hua ya nahi; order abhi tak nahi aaya?,Orders,order_status,Check the status of an existing order,validation
order_status_b004,Mera order kab tak aayega? kal tak chahiye tha,Orders,order_status,Check the status of an existing order,train
order_status_b005,"mujhe lagta hai, tracking mein clear update nahi hai, order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,validation
order_status_b006,order status dekh doge? kal tak chahiye tha,Orders,order_status,Check the status of an existing order,validation
order_status_b007,pls mera order kahan tak pahucha? status same hi pada hai,Orders,order_status,Check the status of an existing order,validation
order_status_b008,"order ka current status check karna hai, tracking update nahi mil raha?",Orders,order_status,Check the status of an existing order,train
order_status_b009,Please batao order dispatch hua ya nahi; status same hi pada hai,Orders,order_status,Check the status of an existing order,train
order_status_b010,"mujhe lagta hai, mera order kab tak aayega? tracking update nahi mil raha",Orders,order_status,Check the status of an existing order,train
order_status_b011,"tracking mein clear update nahi hai, status same hi pada hai",Orders,order_status,Check the status of an existing order,train
order_status_b012,pls order status dekh doge? tracking update nahi mil raha,Orders,order_status,Check the status of an existing order,train
order_status_b013,mera order kahan tak pahucha? dispatch hua ya nahi pata nahi?,Orders,order_status,Check the status of an existing order,test
order_status_b014,"Order ka current status check karna hai, expected date cross ho gayi",Orders,order_status,Check the status of an existing order,train
order_status_b015,"mujhe lagta hai, please batao order dispatch hua ya nahi; dispatch hua ya nahi pata nahi",Orders,order_status,Check the status of an existing order,validation
order_status_b016,mera order kab tak aayega? expected date cross ho gayi,Orders,order_status,Check the status of an existing order,train
order_status_b017,"pls tracking mein clear update nahi hai, dispatch hua ya nahi pata nahi",Orders,order_status,Check the status of an existing order,train
order_status_b018,order status dekh doge? expected date cross ho gayi?,Orders,order_status,Check the status of an existing order,train
order_status_b019,Mera order kahan tak pahucha? kal tak chahiye tha,Orders,order_status,Check the status of an existing order,validation
order_status_b020,"mujhe lagta hai, order ka current status check karna hai, order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,train
order_status_b021,please batao order dispatch hua ya nahi; kal tak chahiye tha,Orders,order_status,Check the status of an existing order,train
order_status_b022,pls mera order kab tak aayega? order abhi tak nahi aaya,Orders,order_status,Check the status of an existing order,train
order_status_b023,"tracking mein clear update nahi hai, kal tak chahiye tha?",Orders,order_status,Check the status of an existing order,train
order_status_b024,Order status dekh doge? order abhi tak nahi aaya,Orders,order_status,Check the status of an existing order,test
order_status_b025,"mujhe lagta hai, mera order kahan tak pahucha? tracking update nahi mil raha",Orders,order_status,Check the status of an existing order,validation
order_status_b026,"order ka current status check karna hai, status same hi pada hai",Orders,order_status,Check the status of an existing order,train
order_status_b027,pls please batao order dispatch hua ya nahi; tracking update nahi mil raha,Orders,order_status,Check the status of an existing order,train
order_status_b028,mera order kab tak aayega? status same hi pada hai?,Orders,order_status,Check the status of an existing order,train
order_status_b029,"Tracking mein clear update nahi hai, tracking update nahi mil raha",Orders,order_status,Check the status of an existing order,train
order_status_b030,"mujhe lagta hai, order status dekh doge? status same hi pada hai",Orders,order_status,Check the status of an existing order,train
order_status_b031,mera order kahan tak pahucha? expected date cross ho gayi; status same hi pada hai,Orders,order_status,Check the status of an existing order,train
order_status_b032,"pls order ka current status check karna hai, dispatch hua ya nahi pata nahi; order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,train
order_status_b033,please batao order dispatch hua ya nahi; expected date cross ho gayi; expected date cross ho gayi?,Orders,order_status,Check the status of an existing order,train
order_status_b034,Mera order kab tak aayega? dispatch hua ya nahi pata nahi; tracking update nahi mil raha,Orders,order_status,Check the status of an existing order,train
order_status_b035,"mujhe lagta hai, tracking mein clear update nahi hai, expected date cross ho gayi; kal tak chahiye tha",Orders,order_status,Check the status of an existing order,train
order_status_b036,order status dekh doge? dispatch hua ya nahi pata nahi; dispatch hua ya nahi pata nahi,Orders,order_status,Check the status of an existing order,train
order_status_b037,pls mera order kahan tak pahucha? order abhi tak nahi aaya; status same hi pada hai,Orders,order_status,Check the status of an existing order,test
order_status_b038,"order ka current status check karna hai, kal tak chahiye tha; order abhi tak nahi aaya?",Orders,order_status,Check the status of an existing order,train
order_status_b039,Please batao order dispatch hua ya nahi; order abhi tak nahi aaya; expected date cross ho gayi,Orders,order_status,Check the status of an existing order,train
order_status_b040,"mujhe lagta hai, mera order kab tak aayega? kal tak chahiye tha; tracking update nahi mil raha",Orders,order_status,Check the status of an existing order,test
order_status_b041,"tracking mein clear update nahi hai, order abhi tak nahi aaya; kal tak chahiye tha",Orders,order_status,Check the status of an existing order,test
order_status_b042,pls order status dekh doge? kal tak chahiye tha; dispatch hua ya nahi pata nahi,Orders,order_status,Check the status of an existing order,train
order_status_b043,mera order kahan tak pahucha? status same hi pada hai; status same hi pada hai?,Orders,order_status,Check the status of an existing order,validation
order_status_b044,"Order ka current status check karna hai, tracking update nahi mil raha; order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,train
order_status_b045,"mujhe lagta hai, please batao order dispatch hua ya nahi; status same hi pada hai; expected date cross ho gayi",Orders,order_status,Check the status of an existing order,train
order_status_b046,mera order kab tak aayega? tracking update nahi mil raha; tracking update nahi mil raha,Orders,order_status,Check the status of an existing order,test
order_status_b047,"pls tracking mein clear update nahi hai, status same hi pada hai; kal tak chahiye tha",Orders,order_status,Check the status of an existing order,train
order_status_b048,order status dekh doge? tracking update nahi mil raha; dispatch hua ya nahi pata nahi?,Orders,order_status,Check the status of an existing order,validation
order_status_b049,Mera order kahan tak pahucha? dispatch hua ya nahi pata nahi; status same hi pada hai,Orders,order_status,Check the status of an existing order,train
order_status_b050,"mujhe lagta hai, order ka current status check karna hai, expected date cross ho gayi; order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,train
order_status_b051,please batao order dispatch hua ya nahi; dispatch hua ya nahi pata nahi; expected date cross ho gayi,Orders,order_status,Check the status of an existing order,train
order_status_b052,pls mera order kab tak aayega? expected date cross ho gayi; tracking update nahi mil raha,Orders,order_status,Check the status of an existing order,train
order_status_b053,"tracking mein clear update nahi hai, dispatch hua ya nahi pata nahi; kal tak chahiye tha?",Orders,order_status,Check the status of an existing order,train
order_status_b054,Order status dekh doge? expected date cross ho gayi; dispatch hua ya nahi pata nahi,Orders,order_status,Check the status of an existing order,test
order_status_b055,"mujhe lagta hai, mera order kahan tak pahucha? kal tak chahiye tha; status same hi pada hai",Orders,order_status,Check the status of an existing order,train
order_status_b056,"order ka current status check karna hai, order abhi tak nahi aaya; order abhi tak nahi aaya",Orders,order_status,Check the status of an existing order,test
order_status_b057,pls please batao order dispatch hua ya nahi; kal tak chahiye tha; expected date cross ho gayi,Orders,order_status,Check the status of an existing order,test
order_status_b058,mera order kab tak aayega? order abhi tak nahi aaya; tracking update nahi mil raha?,Orders,order_status,Check the status of an existing order,train
order_status_b059,"Tracking mein clear update nahi hai, kal tak chahiye tha; kal tak chahiye tha",Orders,order_status,Check the status of an existing order,train
order_status_b060,"mujhe lagta hai, order status dekh doge? order abhi tak nahi aaya; dispatch hua ya nahi pata nahi",Orders,order_status,Check the status of an existing order,train
order_modify_b001,mere order mein change chahiye: quantity ek aur karni hai,Orders,order_modify,Modify an existing order,train
order_modify_b002,"pls order already place hai, par delivery address update karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b003,kya existing order ko modify kar sakte ho? quantity ek aur karni hai?,Orders,order_modify,Modify an existing order,train
order_modify_b004,"Please order update kar do, delivery address update karna hai",Orders,order_modify,Modify an existing order,validation
order_modify_b005,"mujhe lagta hai, mujhe order edit karna hai kyunki quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b006,"dispatch se pehle delivery address update karna hai, change possible hai?",Orders,order_modify,Modify an existing order,validation
order_modify_b007,pls mere order mein change chahiye: size change karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b008,"order already place hai, par ek item add karna hai?",Orders,order_modify,Modify an existing order,validation
order_modify_b009,Kya existing order ko modify kar sakte ho? size change karna hai,Orders,order_modify,Modify an existing order,validation
order_modify_b010,"mujhe lagta hai, please order update kar do, ek item add karna hai",Orders,order_modify,Modify an existing order,validation
order_modify_b011,mujhe order edit karna hai kyunki size change karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b012,"pls dispatch se pehle ek item add karna hai, change possible hai?",Orders,order_modify,Modify an existing order,train
order_modify_b013,mere order mein change chahiye: color dusra chahiye?,Orders,order_modify,Modify an existing order,train
order_modify_b014,"Order already place hai, par ek item hata dena hai",Orders,order_modify,Modify an existing order,train
order_modify_b015,"mujhe lagta hai, kya existing order ko modify kar sakte ho? color dusra chahiye",Orders,order_modify,Modify an existing order,validation
order_modify_b016,"please order update kar do, ek item hata dena hai",Orders,order_modify,Modify an existing order,train
order_modify_b017,pls mujhe order edit karna hai kyunki color dusra chahiye,Orders,order_modify,Modify an existing order,test
order_modify_b018,"dispatch se pehle ek item hata dena hai, change possible hai??",Orders,order_modify,Modify an existing order,train
order_modify_b019,Mere order mein change chahiye: delivery address update karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b020,"mujhe lagta hai, order already place hai, par quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b021,kya existing order ko modify kar sakte ho? delivery address update karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b022,"pls please order update kar do, quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b023,mujhe order edit karna hai kyunki delivery address update karna hai?,Orders,order_modify,Modify an existing order,train
order_modify_b024,"Dispatch se pehle quantity ek aur karni hai, change possible hai?",Orders,order_modify,Modify an existing order,validation
order_modify_b025,"mujhe lagta hai, mere order mein change chahiye: ek item add karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b026,"order already place hai, par size change karna hai",Orders,order_modify,Modify an existing order,test
order_modify_b027,pls kya existing order ko modify kar sakte ho? ek item add karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b028,"please order update kar do, size change karna hai?",Orders,order_modify,Modify an existing order,test
order_modify_b029,Mujhe order edit karna hai kyunki ek item add karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b030,"mujhe lagta hai, dispatch se pehle size change karna hai, change possible hai?",Orders,order_modify,Modify an existing order,train
order_modify_b031,mere order mein change chahiye: ek item hata dena hai; size change karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b032,"pls order already place hai, par color dusra chahiye; quantity ek aur karni hai",Orders,order_modify,Modify an existing order,validation
order_modify_b033,kya existing order ko modify kar sakte ho? ek item hata dena hai; ek item hata dena hai?,Orders,order_modify,Modify an existing order,validation
order_modify_b034,"Please order update kar do, color dusra chahiye; ek item add karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b035,"mujhe lagta hai, mujhe order edit karna hai kyunki ek item hata dena hai; delivery address update karna hai",Orders,order_modify,Modify an existing order,test
order_modify_b036,"dispatch se pehle color dusra chahiye; color dusra chahiye, change possible hai?",Orders,order_modify,Modify an existing order,test
order_modify_b037,pls mere order mein change chahiye: quantity ek aur karni hai; size change karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b038,"order already place hai, par delivery address update karna hai; quantity ek aur karni hai?",Orders,order_modify,Modify an existing order,test
order_modify_b039,Kya existing order ko modify kar sakte ho? quantity ek aur karni hai; ek item hata dena hai,Orders,order_modify,Modify an existing order,train
order_modify_b040,"mujhe lagta hai, please order update kar do, delivery address update karna hai; ek item add karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b041,mujhe order edit karna hai kyunki quantity ek aur karni hai; delivery address update karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b042,"pls dispatch se pehle delivery address update karna hai; color dusra chahiye, change possible hai?",Orders,order_modify,Modify an existing order,train
order_modify_b043,mere order mein change chahiye: size change karna hai; size change karna hai?,Orders,order_modify,Modify an existing order,train
order_modify_b044,"Order already place hai, par ek item add karna hai; quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b045,"mujhe lagta hai, kya existing order ko modify kar sakte ho? size change karna hai; ek item hata dena hai",Orders,order_modify,Modify an existing order,train
order_modify_b046,"please order update kar do, ek item add karna hai; ek item add karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b047,pls mujhe order edit karna hai kyunki size change karna hai; delivery address update karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b048,"dispatch se pehle ek item add karna hai; color dusra chahiye, change possible hai??",Orders,order_modify,Modify an existing order,test
order_modify_b049,Mere order mein change chahiye: color dusra chahiye; size change karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b050,"mujhe lagta hai, order already place hai, par ek item hata dena hai; quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b051,kya existing order ko modify kar sakte ho? color dusra chahiye; ek item hata dena hai,Orders,order_modify,Modify an existing order,train
order_modify_b052,"pls please order update kar do, ek item hata dena hai; ek item add karna hai",Orders,order_modify,Modify an existing order,train
order_modify_b053,mujhe order edit karna hai kyunki color dusra chahiye; delivery address update karna hai?,Orders,order_modify,Modify an existing order,train
order_modify_b054,"Dispatch se pehle ek item hata dena hai; color dusra chahiye, change possible hai?",Orders,order_modify,Modify an existing order,train
order_modify_b055,"mujhe lagta hai, mere order mein change chahiye: delivery address update karna hai; size change karna hai",Orders,order_modify,Modify an existing order,test
order_modify_b056,"order already place hai, par quantity ek aur karni hai; quantity ek aur karni hai",Orders,order_modify,Modify an existing order,train
order_modify_b057,pls kya existing order ko modify kar sakte ho? delivery address update karna hai; ek item hata dena hai,Orders,order_modify,Modify an existing order,train
order_modify_b058,"please order update kar do, quantity ek aur karni hai; ek item add karna hai?",Orders,order_modify,Modify an existing order,train
order_modify_b059,Mujhe order edit karna hai kyunki delivery address update karna hai; delivery address update karna hai,Orders,order_modify,Modify an existing order,train
order_modify_b060,"mujhe lagta hai, dispatch se pehle quantity ek aur karni hai; color dusra chahiye, change possible hai?",Orders,order_modify,Modify an existing order,test
order_cancellation_failed_b001,"maine cancel kiya tha, lekin cancel karne ke baad bhi order active hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b002,"pls cancellation request kaam nahi ki, order cancel nahi hua",Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b003,order cancel karne ke baad bhi cancel karne ke baad bhi order active hai?,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b004,App mein cancellation ka issue aa raha hai: order cancel nahi hua,Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b005,"mujhe lagta hai, cancel request accept nahi hui, cancel karne ke baad bhi order active hai",Orders,order_cancellation_failed,Cancellation request did not take effect,validation
order_cancellation_failed_b006,"please check karo, order cancel nahi hua",Orders,order_cancellation_failed,Cancellation request did not take effect,validation
order_cancellation_failed_b007,"pls maine cancel kiya tha, lekin cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b008,"cancellation request kaam nahi ki, cancelled bolne ke baad phir active ho gaya?",Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b009,Order cancel karne ke baad bhi cancel request ke baad packing dikh rahi hai,Orders,order_cancellation_failed,Cancellation request did not take effect,validation
order_cancellation_failed_b010,"mujhe lagta hai, app mein cancellation ka issue aa raha hai: cancelled bolne ke baad phir active ho gaya",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b011,"cancel request accept nahi hui, cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b012,"pls please check karo, cancelled bolne ke baad phir active ho gaya",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b013,"maine cancel kiya tha, lekin app mein cancellation failed aa raha hai?",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b014,"Cancellation request kaam nahi ki, cancel request accept nahi hui",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b015,"mujhe lagta hai, order cancel karne ke baad bhi app mein cancellation failed aa raha hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b016,app mein cancellation ka issue aa raha hai: cancel request accept nahi hui,Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b017,"pls cancel request accept nahi hui, app mein cancellation failed aa raha hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b018,"please check karo, cancel request accept nahi hui?",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b019,"Maine cancel kiya tha, lekin order cancel nahi hua",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b020,"mujhe lagta hai, cancellation request kaam nahi ki, cancel karne ke baad bhi order active hai",Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b021,order cancel karne ke baad bhi order cancel nahi hua,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b022,pls app mein cancellation ka issue aa raha hai: cancel karne ke baad bhi order active hai,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b023,"cancel request accept nahi hui, order cancel nahi hua?",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b024,"Please check karo, cancel karne ke baad bhi order active hai",Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b025,"mujhe lagta hai, maine cancel kiya tha, lekin cancelled bolne ke baad phir active ho gaya",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b026,"cancellation request kaam nahi ki, cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b027,pls order cancel karne ke baad bhi cancelled bolne ke baad phir active ho gaya,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b028,app mein cancellation ka issue aa raha hai: cancel request ke baad packing dikh rahi hai?,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b029,"Cancel request accept nahi hui, cancelled bolne ke baad phir active ho gaya",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b030,"mujhe lagta hai, please check karo, cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b031,"maine cancel kiya tha, lekin cancel request accept nahi hui; cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b032,"pls cancellation request kaam nahi ki, app mein cancellation failed aa raha hai; cancel karne ke baad bhi order active hai",Orders,order_cancellation_failed,Cancellation request did not take effect,test
order_cancellation_failed_b033,order cancel karne ke baad bhi cancel request accept nahi hui; cancel request accept nahi hui?,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b034,App mein cancellation ka issue aa raha hai: app mein cancellation failed aa raha hai; cancelled bolne ke baad phir active ho gaya,Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b035,"mujhe lagta hai, cancel request accept nahi hui, cancel request accept nahi hui; order cancel nahi hua",Orders,order_cancellation_failed,Cancellation request did not take effect,validation
order_cancellation_failed_b036,"please check karo, app mein cancellation failed aa raha hai; app mein cancellation failed aa raha hai",Orders,order_cancellation_failed,Cancellation request did not take effect,train
order_cancellation_failed_b037,"pls maine cancel kiya tha, lekin cancel karne ke baad bhi order active hai; cancel request ke baad packing dikh rahi hai",Orders,order_cancellation_failed,Cancellation request did not take effect,validation
order_cancellation_failed_b038,"cancellation request kaam nahi ki, order cancel nahi hua; cancel karne ke baad bhi order active hai?",Orders,order_cancellation_failed,Cancellation request did not take effect,train
